modelo,n_variables,accuracy,f1,balanced_accuracy,sensibilidad,especificidad,g_mean,roc_auc
LogisticRegression_pyWinEA,31,0.6631944444444444,0.6433823529411765,0.663370546289435,0.6653992395437263,0.6613418530351438,0.6633674442479247,0.701393359977648
SVC_pyWinEA,50,0.6284722222222222,0.6232394366197183,0.6320290576902052,0.6730038022813688,0.5910543130990416,0.6306994530443621,0.6970322768741117
RandomForest_pyWinEA,52,0.6128472222222222,0.596745027124774,0.614007701745648,0.6273764258555133,0.6006389776357828,0.6138621465920887,0.6738663006110375
DecisionTree_depth3_pyWinEA,16,0.5555555555555556,0.6289855072463768,0.5770842697311678,0.8250950570342205,0.329073482428115,0.5210728392005047,0.5882481565616686
