generation,best_g_mean,best_num_features,fitness_model,best_generation,max_g_mean
76,0.6661082593487384,31,LogisticRegression,69,0.6661082593487384
77,0.6661082593487384,31,LogisticRegression,69,0.6661082593487384
78,0.6661082593487384,31,LogisticRegression,69,0.6661082593487384
79,0.6661082593487384,31,LogisticRegression,69,0.6661082593487384
80,0.6661082593487384,31,LogisticRegression,69,0.6661082593487384
0,0.6594742020316953,61,SVC,56,0.6739459589201466
1,0.6596867511465325,46,SVC,56,0.6739459589201466
2,0.6639631354442044,53,SVC,56,0.6739459589201466
3,0.6646981027544607,61,SVC,56,0.6739459589201466
4,0.6651037482302748,61,SVC,56,0.6739459589201466
5,0.6651037482302748,61,SVC,56,0.6739459589201466
6,0.6651037482302748,61,SVC,56,0.6739459589201466
7,0.6670483432579577,54,SVC,56,0.6739459589201466
8,0.6686170406810783,61,SVC,56,0.6739459589201466
9,0.6686170406810783,61,SVC,56,0.6739459589201466
10,0.6686170406810783,61,SVC,56,0.6739459589201466
11,0.6686170406810783,61,SVC,56,0.6739459589201466
12,0.6699342858496543,63,SVC,56,0.6739459589201466
13,0.6699342858496543,63,SVC,56,0.6739459589201466
14,0.6699342858496543,63,SVC,56,0.6739459589201466
15,0.6699342858496543,63,SVC,56,0.6739459589201466
16,0.6699342858496543,63,SVC,56,0.6739459589201466
17,0.6699342858496543,63,SVC,56,0.6739459589201466
18,0.6699342858496543,63,SVC,56,0.6739459589201466
19,0.6699342858496543,63,SVC,56,0.6739459589201466
20,0.6699342858496543,63,SVC,56,0.6739459589201466
21,0.6699342858496543,63,SVC,56,0.6739459589201466
22,0.6699342858496543,63,SVC,56,0.6739459589201466
23,0.6699342858496543,63,SVC,56,0.6739459589201466
24,0.6699342858496543,63,SVC,56,0.6739459589201466
25,0.6699342858496543,63,SVC,56,0.6739459589201466
26,0.6699342858496543,63,SVC,56,0.6739459589201466
27,0.6715598792288789,40,SVC,56,0.6739459589201466
28,0.6715598792288789,40,SVC,56,0.6739459589201466
29,0.6715598792288789,40,SVC,56,0.6739459589201466
30,0.6715598792288789,40,SVC,56,0.6739459589201466
31,0.6715598792288789,40,SVC,56,0.6739459589201466
32,0.6715598792288789,40,SVC,56,0.6739459589201466
33,0.6715598792288789,40,SVC,56,0.6739459589201466
34,0.6715598792288789,40,SVC,56,0.6739459589201466
