modelo,n_variables,grid_scoring,best_cv_score,accuracy_test,f1_test,balanced_accuracy_test,sensibilidad_test,especificidad_test,g_mean_test,roc_auc_test,best_params
SVC,35,accuracy,0.6835515729900682,0.6458333333333334,0.6357142857142857,0.6483071951797277,0.6768060836501901,0.6198083067092651,0.6476805020052353,0.6932421433690886,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}"
LogisticRegression,30,accuracy,0.6798091327747877,0.6458333333333334,0.6121673003802282,0.6431443530655134,0.6121673003802282,0.6741214057507987,0.6423979149148843,0.6911770065234029,"{'C': 1, 'penalty': 'l2', 'solver': 'liblinear'}"
RandomForest,65,accuracy,0.674618542972868,0.625,0.5970149253731343,0.6236713273970772,0.6083650190114068,0.6389776357827476,0.6234834733502044,0.6809485052053598,"{'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100}"
DecisionTree_depth3,20,accuracy,0.6448371525273262,0.6111111111111112,0.5465587044534413,0.6032993598075778,0.5133079847908745,0.6932907348242812,0.5965498051016664,0.6204035520353746,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 2}"
