generation,best_g_mean,best_num_features,fitness_model,best_generation,max_g_mean
0,0.6657921055748192,54,LogisticRegression,45,0.682522165074246
1,0.6657921055748192,54,LogisticRegression,45,0.682522165074246
2,0.6657921055748192,54,LogisticRegression,45,0.682522165074246
3,0.6657921055748192,54,LogisticRegression,45,0.682522165074246
4,0.6688267988219762,41,LogisticRegression,45,0.682522165074246
5,0.6721887932406577,53,LogisticRegression,45,0.682522165074246
6,0.6721887932406577,53,LogisticRegression,45,0.682522165074246
7,0.6721887932406577,53,LogisticRegression,45,0.682522165074246
8,0.6721887932406577,53,LogisticRegression,45,0.682522165074246
9,0.6721887932406577,53,LogisticRegression,45,0.682522165074246
10,0.6721887932406577,53,LogisticRegression,45,0.682522165074246
11,0.6791519016698561,28,LogisticRegression,45,0.682522165074246
12,0.6791519016698561,28,LogisticRegression,45,0.682522165074246
13,0.6791519016698561,28,LogisticRegression,45,0.682522165074246
14,0.6791519016698561,28,LogisticRegression,45,0.682522165074246
15,0.6791519016698561,28,LogisticRegression,45,0.682522165074246
16,0.6791519016698561,28,LogisticRegression,45,0.682522165074246
17,0.6791519016698561,28,LogisticRegression,45,0.682522165074246
18,0.6791519016698561,28,LogisticRegression,45,0.682522165074246
19,0.6791519016698561,28,LogisticRegression,45,0.682522165074246
20,0.6791519016698561,28,LogisticRegression,45,0.682522165074246
21,0.6791519016698561,28,LogisticRegression,45,0.682522165074246
22,0.6791519016698561,28,LogisticRegression,45,0.682522165074246
23,0.6791519016698561,28,LogisticRegression,45,0.682522165074246
24,0.6791519016698561,28,LogisticRegression,45,0.682522165074246
25,0.6791519016698561,28,LogisticRegression,45,0.682522165074246
26,0.6791519016698561,28,LogisticRegression,45,0.682522165074246
27,0.6791519016698561,28,LogisticRegression,45,0.682522165074246
28,0.6791519016698561,28,LogisticRegression,45,0.682522165074246
29,0.6791519016698561,28,LogisticRegression,45,0.682522165074246
30,0.6791519016698561,28,LogisticRegression,45,0.682522165074246
31,0.6791519016698561,28,LogisticRegression,45,0.682522165074246
32,0.6791519016698561,28,LogisticRegression,45,0.682522165074246
33,0.6791519016698561,28,LogisticRegression,45,0.682522165074246
34,0.6791519016698561,28,LogisticRegression,45,0.682522165074246
35,0.6791519016698561,28,LogisticRegression,45,0.682522165074246
36,0.6791519016698561,28,LogisticRegression,45,0.682522165074246
37,0.6791519016698561,28,LogisticRegression,45,0.682522165074246
38,0.6791519016698561,28,LogisticRegression,45,0.682522165074246
39,0.6791519016698561,28,LogisticRegression,45,0.682522165074246
40,0.6791519016698561,28,LogisticRegression,45,0.682522165074246
41,0.6791519016698561,28,LogisticRegression,45,0.682522165074246
42,0.6791519016698561,28,LogisticRegression,45,0.682522165074246
43,0.6791519016698561,28,LogisticRegression,45,0.682522165074246
44,0.6791519016698561,28,LogisticRegression,45,0.682522165074246
45,0.682522165074246,30,LogisticRegression,45,0.682522165074246
46,0.682522165074246,30,LogisticRegression,45,0.682522165074246
47,0.682522165074246,30,LogisticRegression,45,0.682522165074246
48,0.682522165074246,30,LogisticRegression,45,0.682522165074246
49,0.682522165074246,30,LogisticRegression,45,0.682522165074246
50,0.682522165074246,30,LogisticRegression,45,0.682522165074246
51,0.682522165074246,30,LogisticRegression,45,0.682522165074246
52,0.682522165074246,30,LogisticRegression,45,0.682522165074246
53,0.682522165074246,30,LogisticRegression,45,0.682522165074246
54,0.682522165074246,30,LogisticRegression,45,0.682522165074246
55,0.682522165074246,30,LogisticRegression,45,0.682522165074246
56,0.682522165074246,30,LogisticRegression,45,0.682522165074246
57,0.682522165074246,30,LogisticRegression,45,0.682522165074246
58,0.682522165074246,30,LogisticRegression,45,0.682522165074246
59,0.682522165074246,30,LogisticRegression,45,0.682522165074246
60,0.682522165074246,30,LogisticRegression,45,0.682522165074246
61,0.682522165074246,30,LogisticRegression,45,0.682522165074246
62,0.682522165074246,30,LogisticRegression,45,0.682522165074246
63,0.682522165074246,30,LogisticRegression,45,0.682522165074246
64,0.682522165074246,30,LogisticRegression,45,0.682522165074246
65,0.682522165074246,30,LogisticRegression,45,0.682522165074246
66,0.682522165074246,30,LogisticRegression,45,0.682522165074246
67,0.682522165074246,30,LogisticRegression,45,0.682522165074246
68,0.682522165074246,30,LogisticRegression,45,0.682522165074246
69,0.682522165074246,30,LogisticRegression,45,0.682522165074246
70,0.682522165074246,30,LogisticRegression,45,0.682522165074246
71,0.682522165074246,30,LogisticRegression,45,0.682522165074246
72,0.682522165074246,30,LogisticRegression,45,0.682522165074246
73,0.682522165074246,30,LogisticRegression,45,0.682522165074246
74,0.682522165074246,30,LogisticRegression,45,0.682522165074246
75,0.682522165074246,30,LogisticRegression,45,0.682522165074246
76,0.682522165074246,30,LogisticRegression,45,0.682522165074246
77,0.682522165074246,30,LogisticRegression,45,0.682522165074246
78,0.682522165074246,30,LogisticRegression,45,0.682522165074246
79,0.682522165074246,30,LogisticRegression,45,0.682522165074246
