modelo,n_variables,accuracy,f1,balanced_accuracy,sensibilidad,especificidad,g_mean,roc_auc
LogisticRegression_pyWinEA,30,0.6458333333333334,0.620817843866171,0.6449665326352361,0.6349809885931559,0.6549520766773163,0.6448892285731734,0.6973238256052674
SVC_pyWinEA,52,0.6371527777777778,0.6287744227353463,0.6400162781374895,0.6730038022813688,0.6070287539936102,0.6391655963299506,0.7020007531675555
RandomForest_pyWinEA,45,0.6284722222222222,0.5977443609022557,0.6265625189810371,0.6045627376425855,0.6485623003194888,0.6261761731437271,0.681531602667671
DecisionTree_depth3_pyWinEA,18,0.5972222222222222,0.5703703703703704,0.5962900423960447,0.5855513307984791,0.6070287539936102,0.5961933367070628,0.6272124296942383
