peso_entrevista,peso_examen_mec
7906.639387,9916.516833
7260.206881,9553.223629
17664.428606,20078.47469
9896.386134,13272.150612
60248.986292,115572.066919
48392.984245,56919.762293
76697.432542,86338.447334
25111.939874,27678.606125
21829.910451,29956.946402
26712.638364,35813.926169
12486.101333,13439.920637
6848.777702,7975.370961
45166.001656,59019.777837
12473.556882,20008.720148
14290.011189,14484.360487
68612.551481,84740.400189
110724.748091,164940.720013
20636.71842,21683.548692
17341.367426,19686.570042
44824.238874,68817.821161
18224.868089,31708.736884
8185.261434,12013.029382
35652.819468,52922.571651
29753.154074,43051.814656
61795.744688,85237.779867
22350.039013,34998.928821
78242.866321,89657.932049
22128.649145,41642.004473
71799.507443,103293.809557
85301.770556,116541.232744
39610.404823,50613.264495
89103.679157,101596.8425
127118.629673,180428.854652
40606.472539,37626.998575
53884.657143,64703.755337
26161.866786,30127.292117
12368.934574,14053.158397
11844.04553,16551.113584
32011.298289,39743.870852
47543.973545,67653.996758
11370.869633,14882.323861
26375.631115,32076.199706
32268.248205,35654.056045
18001.775186,18577.705767
19575.436607,27318.811384
13190.519097,15915.849268
61649.900919,81331.665737
27414.453735,32542.609494
16082.176902,24096.437855
35505.357384,34568.444429
18115.793305,21161.133581
68886.248557,93643.811637
8894.167921,10066.657625
21601.720938,28647.723053
13458.945558,14780.777226
13707.692534,15013.484315
15486.028422,17705.26327
13304.681926,15630.819993
22465.334809,23697.046645
38645.998647,55482.574596
36166.215237,38221.682367
18283.851655,22367.359058
41608.631842,47395.902674
76529.558116,103669.275043
16076.247553,17221.080222
22560.510482,31098.963842
40519.082605,60184.10793
13927.611498,14690.951714
33430.155622,37121.52646
11453.000412,14058.280775
30192.814785,37992.065285
37028.893482,42163.991924
27354.997357,33740.430301
7606.62587,11506.733342
18869.650659,28931.151918
13917.405337,15598.990558
53191.99729,79432.273573
53517.058412,59638.106032
26640.865362,27808.418308
10695.175526,13043.792903
23763.877971,48641.214982
12662.147923,20982.520495
12143.226302,11247.223188
20659.505959,23564.352749
29776.158859,36807.049162
