modelo,n_variables,accuracy,f1,roc_auc
Todas_las_variables,69,0.6354166666666666,0.5569620253164557,0.6910494539535224
pyWinEA_variables_seleccionadas,28,0.6319444444444444,0.5655737704918032,0.6731677984426438
