modelo,n_variables,grid_scoring,best_cv_score,accuracy_test,f1_test,balanced_accuracy_test,sensibilidad_test,especificidad_test,g_mean_test,roc_auc_test,best_params
LogisticRegression,31,f1,0.6661082593487384,0.6631944444444444,0.6433823529411765,0.663370546289435,0.6653992395437263,0.6613418530351438,0.6633674442479247,0.701393359977648,"{'C': 1, 'penalty': 'l2', 'solver': 'liblinear'}"
SVC,50,f1,0.6739459589201466,0.6284722222222222,0.6232394366197183,0.6320290576902052,0.6730038022813688,0.5910543130990416,0.6306994530443621,0.6970322768741117,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}"
RandomForest,52,f1,0.6656587149118571,0.6111111111111112,0.5956678700361011,0.6124102576561912,0.6273764258555133,0.597444089456869,0.6122273576800958,0.6731495766469466,"{'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}"
DecisionTree_depth3,16,f1,0.6660370782776374,0.5555555555555556,0.6289855072463768,0.5770842697311678,0.8250950570342205,0.329073482428115,0.5210728392005047,0.5882481565616686,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 2}"
