modelo,n_variables,accuracy,f1,balanced_accuracy,sensibilidad,especificidad,g_mean,roc_auc
SVC_pyWinEA,35,0.6458333333333334,0.6357142857142857,0.6483071951797277,0.6768060836501901,0.6198083067092651,0.6476805020052353,0.6932421433690886
LogisticRegression_pyWinEA,30,0.6458333333333334,0.6121673003802282,0.6431443530655134,0.6121673003802282,0.6741214057507987,0.6423979149148843,0.6911770065234029
RandomForest_pyWinEA,65,0.6232638888888888,0.595903165735568,0.6220738833076204,0.6083650190114068,0.6357827476038339,0.6219228113947348,0.6803411120154521
DecisionTree_depth3_pyWinEA,20,0.6111111111111112,0.5465587044534413,0.6032993598075778,0.5133079847908745,0.6932907348242812,0.5965498051016664,0.6204035520353746
