generation,best_g_mean,best_num_features,fitness_model,best_generation,max_g_mean
33,0.6775952949009598,28,LogisticRegression,68,0.6798091327747877
34,0.6775952949009598,28,LogisticRegression,68,0.6798091327747877
35,0.6775952949009598,28,LogisticRegression,68,0.6798091327747877
36,0.6775952949009598,28,LogisticRegression,68,0.6798091327747877
37,0.6775952949009598,28,LogisticRegression,68,0.6798091327747877
38,0.6775952949009598,28,LogisticRegression,68,0.6798091327747877
39,0.6775952949009598,28,LogisticRegression,68,0.6798091327747877
40,0.6775952949009598,28,LogisticRegression,68,0.6798091327747877
41,0.6775952949009598,28,LogisticRegression,68,0.6798091327747877
42,0.6775952949009598,28,LogisticRegression,68,0.6798091327747877
43,0.6775952949009598,28,LogisticRegression,68,0.6798091327747877
44,0.6775952949009598,28,LogisticRegression,68,0.6798091327747877
45,0.6775952949009598,28,LogisticRegression,68,0.6798091327747877
46,0.6775952949009598,28,LogisticRegression,68,0.6798091327747877
47,0.6775952949009598,28,LogisticRegression,68,0.6798091327747877
48,0.6775952949009598,28,LogisticRegression,68,0.6798091327747877
49,0.6775952949009598,28,LogisticRegression,68,0.6798091327747877
50,0.6775952949009598,28,LogisticRegression,68,0.6798091327747877
51,0.6775952949009598,28,LogisticRegression,68,0.6798091327747877
52,0.6775952949009598,28,LogisticRegression,68,0.6798091327747877
53,0.6775952949009598,28,LogisticRegression,68,0.6798091327747877
54,0.6775952949009598,28,LogisticRegression,68,0.6798091327747877
55,0.6775952949009598,28,LogisticRegression,68,0.6798091327747877
56,0.6775952949009598,28,LogisticRegression,68,0.6798091327747877
57,0.6775952949009598,28,LogisticRegression,68,0.6798091327747877
58,0.6775952949009598,28,LogisticRegression,68,0.6798091327747877
59,0.6775952949009598,28,LogisticRegression,68,0.6798091327747877
60,0.6775952949009598,28,LogisticRegression,68,0.6798091327747877
61,0.6775952949009598,28,LogisticRegression,68,0.6798091327747877
62,0.6775952949009598,28,LogisticRegression,68,0.6798091327747877
63,0.6775952949009598,28,LogisticRegression,68,0.6798091327747877
64,0.6775952949009598,28,LogisticRegression,68,0.6798091327747877
65,0.6775952949009598,28,LogisticRegression,68,0.6798091327747877
66,0.6775952949009598,28,LogisticRegression,68,0.6798091327747877
67,0.6775952949009598,28,LogisticRegression,68,0.6798091327747877
68,0.6798091327747877,30,LogisticRegression,68,0.6798091327747877
69,0.6798091327747877,30,LogisticRegression,68,0.6798091327747877
70,0.6798091327747877,30,LogisticRegression,68,0.6798091327747877
71,0.6798091327747877,30,LogisticRegression,68,0.6798091327747877
72,0.6798091327747877,30,LogisticRegression,68,0.6798091327747877
73,0.6798091327747877,30,LogisticRegression,68,0.6798091327747877
74,0.6798091327747877,30,LogisticRegression,68,0.6798091327747877
75,0.6798091327747877,30,LogisticRegression,68,0.6798091327747877
76,0.6798091327747877,30,LogisticRegression,68,0.6798091327747877
77,0.6798091327747877,30,LogisticRegression,68,0.6798091327747877
78,0.6798091327747877,30,LogisticRegression,68,0.6798091327747877
79,0.6798091327747877,30,LogisticRegression,68,0.6798091327747877
80,0.6798091327747877,30,LogisticRegression,68,0.6798091327747877
0,0.6656855129556678,38,SVC,28,0.6835515729900682
1,0.6671697275703268,44,SVC,28,0.6835515729900682
2,0.6761221772179992,35,SVC,28,0.6835515729900682
3,0.6761221772179992,35,SVC,28,0.6835515729900682
4,0.6761221772179992,35,SVC,28,0.6835515729900682
5,0.6761221772179992,35,SVC,28,0.6835515729900682
6,0.6761221772179992,35,SVC,28,0.6835515729900682
7,0.6761221772179992,35,SVC,28,0.6835515729900682
8,0.6761221772179992,35,SVC,28,0.6835515729900682
9,0.6761221772179992,35,SVC,28,0.6835515729900682
10,0.6761221772179992,35,SVC,28,0.6835515729900682
11,0.6761221772179992,35,SVC,28,0.6835515729900682
12,0.6761221772179992,35,SVC,28,0.6835515729900682
13,0.6761221772179992,35,SVC,28,0.6835515729900682
14,0.6761221772179992,35,SVC,28,0.6835515729900682
15,0.6761221772179992,35,SVC,28,0.6835515729900682
16,0.6761221772179992,35,SVC,28,0.6835515729900682
17,0.6761221772179992,35,SVC,28,0.6835515729900682
18,0.6761221772179992,35,SVC,28,0.6835515729900682
19,0.6761221772179992,35,SVC,28,0.6835515729900682
20,0.6761221772179992,35,SVC,28,0.6835515729900682
21,0.6783249181601289,28,SVC,28,0.6835515729900682
22,0.6783249181601289,28,SVC,28,0.6835515729900682
23,0.6783249181601289,28,SVC,28,0.6835515729900682
24,0.6783249181601289,28,SVC,28,0.6835515729900682
25,0.6783249181601289,28,SVC,28,0.6835515729900682
26,0.6783249181601289,28,SVC,28,0.6835515729900682
27,0.6783249181601289,28,SVC,28,0.6835515729900682
28,0.6835515729900682,35,SVC,28,0.6835515729900682
29,0.6835515729900682,35,SVC,28,0.6835515729900682
30,0.6835515729900682,35,SVC,28,0.6835515729900682
31,0.6835515729900682,35,SVC,28,0.6835515729900682
32,0.6835515729900682,35,SVC,28,0.6835515729900682
33,0.6835515729900682,35,SVC,28,0.6835515729900682
34,0.6835515729900682,35,SVC,28,0.6835515729900682
35,0.6835515729900682,35,SVC,28,0.6835515729900682
36,0.6835515729900682,35,SVC,28,0.6835515729900682
37,0.6835515729900682,35,SVC,28,0.6835515729900682
38,0.6835515729900682,35,SVC,28,0.6835515729900682
39,0.6835515729900682,35,SVC,28,0.6835515729900682
40,0.6835515729900682,35,SVC,28,0.6835515729900682
41,0.6835515729900682,35,SVC,28,0.6835515729900682
42,0.6835515729900682,35,SVC,28,0.6835515729900682
43,0.6835515729900682,35,SVC,28,0.6835515729900682
44,0.6835515729900682,35,SVC,28,0.6835515729900682
45,0.6835515729900682,35,SVC,28,0.6835515729900682
46,0.6835515729900682,35,SVC,28,0.6835515729900682
47,0.6835515729900682,35,SVC,28,0.6835515729900682
48,0.6835515729900682,35,SVC,28,0.6835515729900682
49,0.6835515729900682,35,SVC,28,0.6835515729900682
50,0.6835515729900682,35,SVC,28,0.6835515729900682
51,0.6835515729900682,35,SVC,28,0.6835515729900682
52,0.6835515729900682,35,SVC,28,0.6835515729900682
53,0.6835515729900682,35,SVC,28,0.6835515729900682
54,0.6835515729900682,35,SVC,28,0.6835515729900682
55,0.6835515729900682,35,SVC,28,0.6835515729900682
56,0.6835515729900682,35,SVC,28,0.6835515729900682
57,0.6835515729900682,35,SVC,28,0.6835515729900682
58,0.6835515729900682,35,SVC,28,0.6835515729900682
59,0.6835515729900682,35,SVC,28,0.6835515729900682
60,0.6835515729900682,35,SVC,28,0.6835515729900682
61,0.6835515729900682,35,SVC,28,0.6835515729900682
62,0.6835515729900682,35,SVC,28,0.6835515729900682
63,0.6835515729900682,35,SVC,28,0.6835515729900682
64,0.6835515729900682,35,SVC,28,0.6835515729900682
65,0.6835515729900682,35,SVC,28,0.6835515729900682
66,0.6835515729900682,35,SVC,28,0.6835515729900682
67,0.6835515729900682,35,SVC,28,0.6835515729900682
68,0.6835515729900682,35,SVC,28,0.6835515729900682
69,0.6835515729900682,35,SVC,28,0.6835515729900682
70,0.6835515729900682,35,SVC,28,0.6835515729900682
71,0.6835515729900682,35,SVC,28,0.6835515729900682
72,0.6835515729900682,35,SVC,28,0.6835515729900682
73,0.6835515729900682,35,SVC,28,0.6835515729900682
74,0.6835515729900682,35,SVC,28,0.6835515729900682
75,0.6835515729900682,35,SVC,28,0.6835515729900682
76,0.6835515729900682,35,SVC,28,0.6835515729900682
77,0.6835515729900682,35,SVC,28,0.6835515729900682
78,0.6835515729900682,35,SVC,28,0.6835515729900682
79,0.6835515729900682,35,SVC,28,0.6835515729900682
80,0.6835515729900682,35,SVC,28,0.6835515729900682
0,0.6656799644898185,40,RandomForest,7,0.6746129945070188
1,0.6656799644898185,40,RandomForest,7,0.6746129945070188
2,0.6656966098873662,62,RandomForest,7,0.6746129945070188
3,0.6664317816123841,48,RandomForest,7,0.6746129945070188
4,0.6664317816123841,48,RandomForest,7,0.6746129945070188
