modelo,pareto_idx,n_variables,precision_cv,recall_cv,accuracy_test,precision_test,recall_test,f1_test,custom_score_test,TN,FP,FN,TP,selected_features
LogisticRegression,1,2,0.45117684680044057,0.9373662105405772,0.4722222222222222,0.46238532110091746,0.9581749049429658,0.6237623762376238,0.6607011546377368,20,293,11,252,"['tiempo_seg_cond1', 'medicacion_osteoporosis_1']"
LogisticRegression,7,2,0.45117684680044057,0.9373662105405772,0.4722222222222222,0.46238532110091746,0.9581749049429658,0.6237623762376238,0.6607011546377368,20,293,11,252,"['medicacion_osteoporosis_1', 'tiempo_seg_cond1']"
LogisticRegression,32,2,0.45117684680044057,0.9373662105405772,0.4722222222222222,0.46238532110091746,0.9581749049429658,0.6237623762376238,0.6607011546377368,20,293,11,252,"['medicacion_osteoporosis_1', 'tiempo_seg_cond1']"
LogisticRegression,37,2,0.45117684680044057,0.9373662105405772,0.4722222222222222,0.46238532110091746,0.9581749049429658,0.6237623762376238,0.6607011546377368,20,293,11,252,"['medicacion_osteoporosis_1', 'tiempo_seg_cond1']"
LogisticRegression,57,2,0.45117684680044057,0.9373662105405772,0.4722222222222222,0.46238532110091746,0.9581749049429658,0.6237623762376238,0.6607011546377368,20,293,11,252,"['medicacion_osteoporosis_1', 'tiempo_seg_cond1']"
LogisticRegression,59,2,0.45117684680044057,0.9373662105405772,0.4722222222222222,0.46238532110091746,0.9581749049429658,0.6237623762376238,0.6607011546377368,20,293,11,252,"['medicacion_osteoporosis_1', 'tiempo_seg_cond1']"
LogisticRegression,68,2,0.45117684680044057,0.9373662105405772,0.4722222222222222,0.46238532110091746,0.9581749049429658,0.6237623762376238,0.6607011546377368,20,293,11,252,"['medicacion_osteoporosis_1', 'tiempo_seg_cond1']"
LogisticRegression,75,2,0.45117684680044057,0.9373662105405772,0.4722222222222222,0.46238532110091746,0.9581749049429658,0.6237623762376238,0.6607011546377368,20,293,11,252,"['tiempo_seg_cond1', 'medicacion_osteoporosis_1']"
LogisticRegression,85,2,0.45117684680044057,0.9373662105405772,0.4722222222222222,0.46238532110091746,0.9581749049429658,0.6237623762376238,0.6607011546377368,20,293,11,252,"['medicacion_osteoporosis_1', 'tiempo_seg_cond1']"
LogisticRegression,94,2,0.45117684680044057,0.9373662105405772,0.4722222222222222,0.46238532110091746,0.9581749049429658,0.6237623762376238,0.6607011546377368,20,293,11,252,"['medicacion_osteoporosis_1', 'tiempo_seg_cond1']"
LogisticRegression,101,2,0.45117684680044057,0.9373662105405772,0.4722222222222222,0.46238532110091746,0.9581749049429658,0.6237623762376238,0.6607011546377368,20,293,11,252,"['tiempo_seg_cond1', 'medicacion_osteoporosis_1']"
LogisticRegression,121,2,0.45117684680044057,0.9373662105405772,0.4722222222222222,0.46238532110091746,0.9581749049429658,0.6237623762376238,0.6607011546377368,20,293,11,252,"['tiempo_seg_cond1', 'medicacion_osteoporosis_1']"
LogisticRegression,136,2,0.45117684680044057,0.9373662105405772,0.4722222222222222,0.46238532110091746,0.9581749049429658,0.6237623762376238,0.6607011546377368,20,293,11,252,"['tiempo_seg_cond1', 'medicacion_osteoporosis_1']"
LogisticRegression,142,2,0.45117684680044057,0.9373662105405772,0.4722222222222222,0.46238532110091746,0.9581749049429658,0.6237623762376238,0.6607011546377368,20,293,11,252,"['medicacion_osteoporosis_1', 'tiempo_seg_cond1']"
LogisticRegression,150,2,0.45117684680044057,0.9373662105405772,0.4722222222222222,0.46238532110091746,0.9581749049429658,0.6237623762376238,0.6607011546377368,20,293,11,252,"['medicacion_osteoporosis_1', 'tiempo_seg_cond1']"
LogisticRegression,163,2,0.45117684680044057,0.9373662105405772,0.4722222222222222,0.46238532110091746,0.9581749049429658,0.6237623762376238,0.6607011546377368,20,293,11,252,"['medicacion_osteoporosis_1', 'tiempo_seg_cond1']"
LogisticRegression,174,2,0.45117684680044057,0.9373662105405772,0.4722222222222222,0.46238532110091746,0.9581749049429658,0.6237623762376238,0.6607011546377368,20,293,11,252,"['medicacion_osteoporosis_1', 'tiempo_seg_cond1']"
