modelo,n_variables,accuracy,f1,balanced_accuracy,sensibilidad,especificidad,g_mean,roc_auc
LogisticRegression_pyWinEA,48,0.6493055555555556,0.6231343283582089,0.6481614208141498,0.6349809885931559,0.6613418530351438,0.6480273942035825,0.702049344622748
SVC_pyWinEA,45,0.6423611111111112,0.6268115942028986,0.643593824026045,0.6577946768060836,0.6293929712460063,0.643437134539799,0.6923553493118235
RandomForest_pyWinEA,41,0.6024305555555556,0.5767097966728281,0.6016897678543228,0.5931558935361216,0.610223642172524,0.6016292460724545,0.6748502775786878
DecisionTree_depth3_pyWinEA,25,0.59375,0.5517241379310345,0.5900581882675932,0.5475285171102662,0.6325878594249201,0.5885234851837979,0.6158420291791689
