modelo,pareto_idx,n_variables,precision_cv,recall_cv,accuracy_test,precision_test,recall_test,f1_test,custom_score_test,TN,FP,FN,TP,selected_features
LogisticRegression,5,3,0.13317705460562604,0.87973174366617,0.4704861111111111,0.4588235294117647,0.8897338403041825,0.6054333764553687,0.6311876537687318,37,276,29,234,"['medicacion_osteoporosis_1', 'tiempo_seg_cond1', 'fracturas_1']"
LogisticRegression,34,2,0.12773487773487774,0.8929548841620377,0.4704861111111111,0.4588235294117647,0.8897338403041825,0.6054333764553687,0.6311876537687318,37,276,29,234,"['fracturas_1', 'medicacion_osteoporosis_1']"
LogisticRegression,42,3,0.13317705460562604,0.87973174366617,0.4704861111111111,0.4588235294117647,0.8897338403041825,0.6054333764553687,0.6311876537687318,37,276,29,234,"['fracturas_1', 'medicacion_osteoporosis_1', 'tiempo_seg_cond1']"
SVC,8,2,0.12773487773487774,0.8929548841620377,0.4704861111111111,0.4588235294117647,0.8897338403041825,0.6054333764553687,0.6311876537687318,37,276,29,234,"['fracturas_1', 'medicacion_osteoporosis_1']"
SVC,9,2,0.12773487773487774,0.8929548841620377,0.4704861111111111,0.4588235294117647,0.8897338403041825,0.6054333764553687,0.6311876537687318,37,276,29,234,"['fracturas_1', 'medicacion_osteoporosis_1']"
SVC,158,2,0.12773487773487774,0.8929548841620377,0.4704861111111111,0.4588235294117647,0.8897338403041825,0.6054333764553687,0.6311876537687318,37,276,29,234,"['medicacion_osteoporosis_1', 'fracturas_1']"
SVC,162,2,0.12773487773487774,0.8929548841620377,0.4704861111111111,0.4588235294117647,0.8897338403041825,0.6054333764553687,0.6311876537687318,37,276,29,234,"['medicacion_osteoporosis_1', 'fracturas_1']"
SVC,165,2,0.12773487773487774,0.8929548841620377,0.4704861111111111,0.4588235294117647,0.8897338403041825,0.6054333764553687,0.6311876537687318,37,276,29,234,"['medicacion_osteoporosis_1', 'fracturas_1']"
SVC,183,2,0.12773487773487774,0.8929548841620377,0.4704861111111111,0.4588235294117647,0.8897338403041825,0.6054333764553687,0.6311876537687318,37,276,29,234,"['medicacion_osteoporosis_1', 'fracturas_1']"
SVC,193,2,0.12773487773487774,0.8929548841620377,0.4704861111111111,0.4588235294117647,0.8897338403041825,0.6054333764553687,0.6311876537687318,37,276,29,234,"['fracturas_1', 'medicacion_osteoporosis_1']"
SVC,30,3,0.17516087516087514,0.8517274082102695,0.4947916666666667,0.4711934156378601,0.870722433460076,0.6114819759679573,0.6310050227667465,56,257,34,229,"['raza_etnia_6.0', 'fracturas_1', 'raza_etnia_2.0']"
SVC,48,3,0.17516087516087514,0.8517274082102695,0.4947916666666667,0.4711934156378601,0.870722433460076,0.6114819759679573,0.6310050227667465,56,257,34,229,"['fracturas_1', 'raza_etnia_6.0', 'raza_etnia_2.0']"
SVC,185,3,0.17516087516087514,0.8517274082102695,0.4947916666666667,0.4711934156378601,0.870722433460076,0.6114819759679573,0.6310050227667465,56,257,34,229,"['fracturas_1', 'raza_etnia_2.0', 'raza_etnia_6.0']"
