modelo,n_variables,accuracy,f1,balanced_accuracy,sensibilidad,especificidad,g_mean,roc_auc
LogisticRegression_pyWinEA,24,0.6510416666666666,0.6365280289330922,0.6524921342581906,0.6692015209125475,0.6357827476038339,0.6522781474696542,0.6865365225525091
SVC_pyWinEA,26,0.6267361111111112,0.6153846153846154,0.6289131306259794,0.6539923954372624,0.6038338658146964,0.6284128868429544,0.6851212964200245
RandomForest_pyWinEA,40,0.6059027777777778,0.588021778584392,0.6067068356029592,0.6159695817490495,0.597444089456869,0.6066361231423573,0.6688856764537956
DecisionTree_depth3_pyWinEA,12,0.5555555555555556,0.6289855072463768,0.5770842697311678,0.8250950570342205,0.329073482428115,0.5210728392005047,0.5882481565616686
